,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"왼쪽 끝 좌표: (0, 0), 중간 좌표: (48, 24), 끝 좌표(96, 48)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"정렬 텍스트: LEFT, CENTER, RIGHT, L, C, R 각각 왼쪽정렬, 가운데정렬, 오른쪽정렬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"좌표 0~96, 0~48 범위를 벗어나더라도 렌더링이 가능합니다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,부족하면 더 적어도 작동합니다,,,,,,
,번호,표지판타입,좌표갯수,x1,y1,텍스트1,텍스트 배율,색,정렬1,x2,y2,텍스트2,텍스트 배율,색,정렬2,x3,y3,텍스트3,텍스트 배율,색,정렬3,x4,y4,텍스트4,텍스트 배율,색,정렬4,x5,y5,텍스트5,텍스트 배율,색,정렬5,
,08-461,default,5,175,2,08-461,0.85,#FFFFFF,RIGHT,12,10,전자공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Electronics Enginerring Professor,0.35,#808080,LEFT,12,22,홍 연 찬,1.5,#FFFFFF,LEFT,64,27,Yeon Chan Hong,0.75,#808080,LEFT,
,08-462,default,5,175,2,08-462,0.85,#FFFFFF,RIGHT,12,10,전자공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Electronics Enginerring Professor,0.35,#808080,LEFT,12,22,유 종 근,1.5,#FFFFFF,LEFT,64,27,Chong Gun Yu,0.75,#808080,LEFT,
,08-463,default,5,175,2,08-463,0.85,#FFFFFF,RIGHT,12,10,신소재공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Advanced Materials Engineering Professor,0.35,#808080,LEFT,12,22,이한보람,1.5,#FFFFFF,LEFT,66,27,"Lee, Han-Bo-Ram",0.75,#808080,LEFT,
,08-464,default,5,175,2,08-464,0.85,#FFFFFF,RIGHT,12,10,산업경영공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Industrial and Management Engineering Professor,0.35,#808080,LEFT,12,22,김 연 수,1.5,#FFFFFF,LEFT,64,27,Yon-Soo Kim,0.75,#808080,LEFT,
,08-465,default,5,175,2,08-465,0.85,#FFFFFF,RIGHT,12,10,산업경영공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Industrial and Management Engineering Professor,0.35,#808080,LEFT,12,22,김 철 홍,1.5,#FFFFFF,LEFT,64,27,Chol-Hong Kim,0.75,#808080,LEFT,
,08-466,default,5,175,2,08-466,0.85,#FFFFFF,RIGHT,12,10,산업경영공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Industrial and Management Engineering Professor,0.35,#808080,LEFT,12,22,박 기 정,1.5,#FFFFFF,LEFT,64,27,Kijung Park,0.75,#808080,LEFT,
,08-467,default,5,175,2,08-467,0.85,#FFFFFF,RIGHT,12,10,산업경영공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Industrial and Management Engineering Professor,0.35,#808080,LEFT,12,22,김 병 수,1.5,#FFFFFF,LEFT,64,27,Byung Soo Kim,0.75,#808080,LEFT,
,08-468,default,5,175,2,08-468,0.85,#FFFFFF,RIGHT,12,10,산업경영공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Industrial and Management Engineering Professor,0.35,#808080,LEFT,12,22,유 재 홍,1.5,#FFFFFF,LEFT,64,27,JaeHong Yu,0.75,#808080,LEFT,
,08-469,default,3,184,30,08-469,1,#0000FF,RIGHT,10,10,통계적 학습 및 위험분석 연구실,1.35,#FFFFFF,LEFT,10,29,Statistical Learning And Risk Analysis Lab.,0.6,#808080,LEFT,,,,,,,,,,,,,
,08-470,default,3,184,30,08-470,1,#0000FF,RIGHT,10,10,스마트팩토리 연구실,1.75,#FFFFFF,LEFT,10,29,Smart Factory Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-471,default,3,184,30,08-471,1,#0000FF,RIGHT,10,10,생산혁신연구실,1.75,#FFFFFF,LEFT,10,29,Innovative Production Research Lab.,0.65,#808080,LEFT,,,,,,,,,,,,,
,08-472,default,3,184,30,08-472,1,#0000FF,RIGHT,10,10,인공지능운영최적화 연구실,1.5,#FFFFFF,LEFT,10,29,AI & Optimization Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-473,default,5,175,2,08-473,0.85,#FFFFFF,RIGHT,12,10,산업경영공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Industrial and Management Engineering Professor,0.35,#808080,LEFT,12,22,유 우 식,1.5,#FFFFFF,LEFT,64,27,Woo-Sik Yoo,0.75,#808080,LEFT,
,08-474,default,5,175,2,08-474,0.85,#FFFFFF,RIGHT,12,10,산업경영공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Industrial and Management Engineering Professor,0.35,#808080,LEFT,12,22,장 석 화,1.5,#FFFFFF,LEFT,64,27,Suk-Hwa Chang,0.75,#808080,LEFT,
,08-475,default,5,17,2,08-475,0.85,#FFFFFF,LEFT,104,10,산업경영공학과 교수,0.35,#808080,LEFT,104,16,Dept. of Industrial and Management Engineering Professor,0.3,#808080,LEFT,104,24,김 재 곤,1.25,#FFFFFF,LEFT,144,27,Jae-Gon Kim,0.6,#808080,LEFT,
